,scenario,f,year,type,land,xi
0,,,1961,data,2634795966.5178075,0.4514100701719039
1,,,1962,data,2664780297.6079574,0.44777286442985903
2,,,1963,data,2692289049.4274087,0.44440929078909003
3,,,1964,data,2695644970.092953,0.44132139444719
4,,,1965,data,2724137678.9858847,0.4383581500596294
5,,,1966,data,2722732789.571131,0.4356774344763893
6,,,1967,data,2734834883.4285026,0.4331036598565907
7,,,1968,data,2746318101.6737394,0.42983183292382215
8,,,1969,data,2783806551.6661053,0.4275627623870807
9,,,1970,data,3006049912.8625665,0.419515727809328
10,,,1971,data,2984558091.664594,0.41884392257132314
11,,,1972,data,3075011199.17755,0.4180004530509705
12,,,1973,data,3062110126.412742,0.4177157685721191
13,,,1974,data,3104793241.967225,0.4175551822276922
14,,,1975,data,3145533120.5795536,0.41761547892438167
15,,,1976,data,3153889869.6599383,0.4151708960096302
16,,,1977,data,3172344286.6078415,0.4155750211406604
17,,,1978,data,3206818438.2534547,0.41608483266334106
18,,,1979,data,3213853724.122739,0.4167839073571089
19,,,1980,data,3308241249.0506163,0.41699447245639043
20,,,1981,data,3290413069.0807843,0.418153539046292
21,,,1982,data,3344328436.5987597,0.41822510849917743
22,,,1983,data,3396954577.0563765,0.4195270091418127
23,,,1984,data,3355528520.739557,0.4312537746150325
24,,,1985,data,3361673884.1449676,0.4323565412867542
25,,,1986,data,3432763686.7125893,0.43432681111543825
26,,,1987,data,3421660585.39052,0.43549767540614387
27,,,1988,data,3484769603.799239,0.43720971124228214
28,,,1989,data,3476521206.137939,0.4394407857929756
29,,,1990,data,3472401188.003926,0.441533742541867
30,,,1991,data,3503190543.508094,0.4415607292758241
31,,,1992,data,3519702548.4345,0.43290089913998975
32,,,1993,data,3534834178.543163,0.4394712249792326
33,,,1994,data,3534708802.7146335,0.44192768322492737
34,,,1995,data,3577281687.253833,0.4423291739281023
35,,,1996,data,3554529478.8080783,0.44352178748465104
36,,,1997,data,3592230571.8811207,0.44415976802742035
37,,,1998,data,3588807682.8930793,0.4456647998166977
38,,,1999,data,3599011300.608892,0.44715551862000025
39,,,2000,data,3645857954.9816337,0.4488578842539547
40,,,2001,data,3585453770.128444,0.4508727557697457
41,,,2002,data,3434608131.301626,0.4521765988111847
42,,,2003,data,3626871260.280846,0.4501651737083796
43,,,2004,data,3590515841.175412,0.4518626089444792
44,,,2005,data,3604894697.8315716,0.4522224428214625
45,,,2006,data,3613152507.3890467,0.45252974844064725
46,,,2007,data,3635169473.781164,0.45244520365957935
47,,,2008,data,3581487095.665802,0.4521091055322958
48,,,2009,data,3553274517.0540595,0.45006756613524984
49,,,2010,data,3571649771.1610765,0.44718755373862235
50,,,2011,data,3624343821.5168967,0.44336512064932004
51,,,2012,data,3616369408.458761,0.4406475504347515
52,,,2013,data,3525102708.182174,0.4374766667223817
53,SSP2,0.2,2011,projections,3325901617.9577637,0.44345427212766736
54,SSP2,0.4,2011,projections,3325901617.9577637,0.44345427212766736
55,SSP2,0.6,2011,projections,3325901617.9577637,0.44345427212766736
56,SSP2,0.8,2011,projections,3325901617.9577637,0.44345427212766736
57,SSP2,0.2,2012,projections,3329587012.8626356,0.43477233853490677
58,SSP2,0.4,2012,projections,3329587012.8626356,0.43477233853490677
59,SSP2,0.6,2012,projections,3329587012.8626356,0.43477233853490677
60,SSP2,0.8,2012,projections,3329587012.8626356,0.43477233853490677
61,SSP2,0.2,2013,projections,3270563055.2523427,0.4259910392956605
62,SSP2,0.4,2013,projections,3270563055.2523427,0.4259910392956605
63,SSP2,0.6,2013,projections,3270563055.2523427,0.4259910392956605
64,SSP2,0.8,2013,projections,3270563055.2523427,0.4259910392956605
65,SSP2,0.2,2014,projections,3566128481.781383,0.4226655613552135
66,SSP2,0.4,2014,projections,3566542264.7344465,0.42266556420042606
67,SSP2,0.6,2014,projections,3567124795.018408,0.42266553566056475
68,SSP2,0.8,2014,projections,3568674296.111771,0.42266556459121013
69,SSP2,0.2,2015,projections,3619727623.094475,0.4189223101373495
70,SSP2,0.4,2015,projections,3621018143.2152553,0.4189377157971217
71,SSP2,0.6,2015,projections,3623017970.238054,0.4189607546648609
72,SSP2,0.8,2015,projections,3628286318.8183017,0.4190218478164954
73,SSP2,0.2,2016,projections,3659720445.0903587,0.4161547428143491
74,SSP2,0.4,2016,projections,3662358743.905426,0.4162062206836831
75,SSP2,0.6,2016,projections,3666712809.1783376,0.4162874451436853
76,SSP2,0.8,2016,projections,3677868888.6803813,0.41650051227554696
77,SSP2,0.2,2017,projections,3691107459.4277544,0.41413762116608155
78,SSP2,0.4,2017,projections,3695278443.323696,0.41425165122109847
79,SSP2,0.6,2017,projections,3702267860.9717636,0.4144377526925005
80,SSP2,0.8,2017,projections,3720000376.668202,0.4149200509995485
81,SSP2,0.2,2018,projections,3718578422.2294197,0.41275441584534706
82,SSP2,0.4,2018,projections,3724494743.447055,0.412960589524971
83,SSP2,0.6,2018,projections,3734602503.8986297,0.4133037118466175
84,SSP2,0.8,2018,projections,3759598855.4663687,0.4141799985713259
85,SSP2,0.2,2019,projections,3745350462.8554044,0.4119536456161766
86,SSP2,0.4,2019,projections,3753502677.242826,0.41228771492678473
87,SSP2,0.6,2019,projections,3767083212.7256207,0.41284771828442457
88,SSP2,0.8,2019,projections,3799577415.8448615,0.41425445736612115
89,SSP2,0.2,2020,projections,3771253454.805929,0.41170582112345133
90,SSP2,0.4,2020,projections,3781726383.5839767,0.41221116149525866
91,SSP2,0.6,2020,projections,3799578652.1899977,0.4130603807645978
92,SSP2,0.8,2020,projections,3839709871.661529,0.41513661491863985
93,SSP2,0.2,2021,projections,3797593145.4717345,0.41199437850569637
94,SSP2,0.4,2021,projections,3810555527.9769883,0.4127143029444269
95,SSP2,0.6,2021,projections,3832317822.129565,0.4139284785698144
96,SSP2,0.8,2021,projections,3880720274.4116926,0.41682856038790805
97,SSP2,0.2,2022,projections,3821228857.4380918,0.4128001554157379
98,SSP2,0.4,2022,projections,3836718466.4940343,0.4137800153881557
