,scenario,f,region,year,type,land,xi
0,SSP2,0.2,Africa,2011,projections,655410352.8811047,0.4246350072041287
1,SSP2,0.4,Africa,2011,projections,655410352.8811047,0.4246350072041287
2,SSP2,0.6,Africa,2011,projections,655410352.8811047,0.4246350072041287
3,SSP2,0.8,Africa,2011,projections,655410352.8811047,0.4246350072041287
4,SSP2,0.2,Americas,2011,projections,826729854.2446096,0.26383708833630587
5,SSP2,0.4,Americas,2011,projections,826729854.2446096,0.26383708833630587
6,SSP2,0.6,Americas,2011,projections,826729854.2446096,0.26383708833630587
7,SSP2,0.8,Americas,2011,projections,826729854.2446096,0.26383708833630587
8,SSP2,0.2,Asia,2011,projections,1315681628.4988537,0.5226710190875847
9,SSP2,0.4,Asia,2011,projections,1315681628.4988537,0.5226710190875847
10,SSP2,0.6,Asia,2011,projections,1315681628.4988537,0.5226710190875847
11,SSP2,0.8,Asia,2011,projections,1315681628.4988537,0.5226710190875847
12,SSP2,0.2,Europe,2011,projections,411775911.59316117,0.272060462603444
13,SSP2,0.4,Europe,2011,projections,411775911.59316117,0.272060462603444
14,SSP2,0.6,Europe,2011,projections,411775911.59316117,0.272060462603444
15,SSP2,0.8,Europe,2011,projections,411775911.59316117,0.272060462603444
16,SSP2,0.2,Oceania,2011,projections,116303870.74003449,0.1385262707078703
17,SSP2,0.4,Oceania,2011,projections,116303870.74003449,0.1385262707078703
18,SSP2,0.6,Oceania,2011,projections,116303870.74003449,0.1385262707078703
19,SSP2,0.8,Oceania,2011,projections,116303870.74003449,0.1385262707078703
20,SSP2,0.2,Africa,2012,projections,649444364.7541033,0.414509938216826
21,SSP2,0.4,Africa,2012,projections,649444364.7541033,0.414509938216826
22,SSP2,0.6,Africa,2012,projections,649444364.7541033,0.414509938216826
23,SSP2,0.8,Africa,2012,projections,649444364.7541033,0.414509938216826
24,SSP2,0.2,Americas,2012,projections,840222871.0599779,0.2606609481300098
25,SSP2,0.4,Americas,2012,projections,840222871.0599779,0.2606609481300098
26,SSP2,0.6,Americas,2012,projections,840222871.0599779,0.2606609481300098
27,SSP2,0.8,Americas,2012,projections,840222871.0599779,0.2606609481300098
28,SSP2,0.2,Asia,2012,projections,1315972679.756874,0.5122336177336968
29,SSP2,0.4,Asia,2012,projections,1315972679.756874,0.5122336177336968
30,SSP2,0.6,Asia,2012,projections,1315972679.756874,0.5122336177336968
31,SSP2,0.8,Asia,2012,projections,1315972679.756874,0.5122336177336968
32,SSP2,0.2,Europe,2012,projections,415920310.0231341,0.2668953510923079
33,SSP2,0.4,Europe,2012,projections,415920310.0231341,0.2668953510923079
34,SSP2,0.6,Europe,2012,projections,415920310.0231341,0.2668953510923079
35,SSP2,0.8,Europe,2012,projections,415920310.0231341,0.2668953510923079
36,SSP2,0.2,Oceania,2012,projections,108026787.2685464,0.13787179718532425
37,SSP2,0.4,Oceania,2012,projections,108026787.2685464,0.13787179718532425
38,SSP2,0.6,Oceania,2012,projections,108026787.2685464,0.13787179718532425
39,SSP2,0.8,Oceania,2012,projections,108026787.2685464,0.13787179718532425
40,SSP2,0.2,Africa,2013,projections,664601168.2734666,0.4038934478743365
41,SSP2,0.4,Africa,2013,projections,664601168.2734666,0.4038934478743365
42,SSP2,0.6,Africa,2013,projections,664601168.2734666,0.4038934478743365
43,SSP2,0.8,Africa,2013,projections,664601168.2734666,0.4038934478743365
44,SSP2,0.2,Americas,2013,projections,821340278.9274507,0.2571685268151082
45,SSP2,0.4,Americas,2013,projections,821340278.9274507,0.2571685268151082
46,SSP2,0.6,Americas,2013,projections,821340278.9274507,0.2571685268151082
47,SSP2,0.8,Americas,2013,projections,821340278.9274507,0.2571685268151082
48,SSP2,0.2,Asia,2013,projections,1289849381.4245234,0.5018504786813548
49,SSP2,0.4,Asia,2013,projections,1289849381.4245234,0.5018504786813548
50,SSP2,0.6,Asia,2013,projections,1289849381.4245234,0.5018504786813548
51,SSP2,0.8,Asia,2013,projections,1289849381.4245234,0.5018504786813548
52,SSP2,0.2,Europe,2013,projections,401168368.1242722,0.26168623226299664
53,SSP2,0.4,Europe,2013,projections,401168368.1242722,0.26168623226299664
54,SSP2,0.6,Europe,2013,projections,401168368.1242722,0.26168623226299664
55,SSP2,0.8,Europe,2013,projections,401168368.1242722,0.26168623226299664
56,SSP2,0.2,Oceania,2013,projections,93603858.5026291,0.13689317035231097
57,SSP2,0.4,Oceania,2013,projections,93603858.5026291,0.13689317035231097
58,SSP2,0.6,Oceania,2013,projections,93603858.5026291,0.13689317035231097
59,SSP2,0.8,Oceania,2013,projections,93603858.5026291,0.13689317035231097
60,SSP2,0.2,Africa,2014,projections,693706267.8139737,0.3952926249525065
61,SSP2,0.4,Africa,2014,projections,693902527.641712,0.3952926265403219
62,SSP2,0.6,Africa,2014,projections,694090806.7656987,0.39529261232066065
63,SSP2,0.8,Africa,2014,projections,694510771.0543171,0.39529262673653726
64,SSP2,0.2,Americas,2014,projections,865210133.2207478,0.2541785995156241
65,SSP2,0.4,Americas,2014,projections,865249568.9333276,0.2541786001141303
66,SSP2,0.6,Americas,2014,projections,865327028.1345055,0.25417859413481975
67,SSP2,0.8,Americas,2014,projections,865554031.1452276,0.25417860019602745
68,SSP2,0.2,Asia,2014,projections,1448330079.2894223,0.4987652826330616
69,SSP2,0.4,Asia,2014,projections,1448485588.5865989,0.4987652865183109
70,SSP2,0.6,Asia,2014,projections,1448778596.0771806,0.49876524715362086
71,SSP2,0.8,Asia,2014,projections,1449622337.4183588,0.4987652870569678
72,SSP2,0.2,Europe,2014,projections,463508397.78122306,0.2578846895016831
73,SSP2,0.4,Europe,2014,projections,463528910.75770605,0.257884691054475
74,SSP2,0.6,Europe,2014,projections,463550637.9711123,0.2578846754880933
75,SSP2,0.8,Europe,2014,projections,463604419.86974406,0.25788469126762076
76,SSP2,0.2,Oceania,2014,projections,95373603.67601632,0.13769863319486075
77,SSP2,0.4,Oceania,2014,projections,95375668.8151002,0.1376986343942942
78,SSP2,0.6,Oceania,2014,projections,95377726.06991002,0.13769862239053812
79,SSP2,0.8,Oceania,2014,projections,95382736.62412165,0.1376986345586812
80,SSP2,0.2,Africa,2015,projections,720610351.999144,0.38705093438522264
81,SSP2,0.4,Africa,2015,projections,721189486.1915698,0.3870581625235122
82,SSP2,0.6,Africa,2015,projections,721866330.719882,0.38706897164092346
83,SSP2,0.8,Africa,2015,projections,723417564.9807302,0.3870976359005778
84,SSP2,0.2,Americas,2015,projections,869226735.3053395,0.25163208980164214
85,SSP2,0.4,Americas,2015,projections,869374901.992129,0.25163531835741737
86,SSP2,0.6,Americas,2015,projections,869668360.7720957,0.25164014640147936
87,SSP2,0.8,Americas,2015,projections,870514200.7741907,0.2516529480345053
88,SSP2,0.2,Asia,2015,projections,1463339098.269988,0.4953744674763209
89,SSP2,0.4,Asia,2015,projections,1463837906.316061,0.49539583454277397
90,SSP2,0.6,Asia,2015,projections,1464807227.4111094,0.49542778874359744
91,SSP2,0.8,Asia,2015,projections,1467538842.0078006,0.49551252321386174
92,SSP2,0.2,Europe,2015,projections,472076738.9014689,0.2554589818439681
93,SSP2,0.4,Europe,2015,projections,472134257.06644565,0.255467362761024
94,SSP2,0.6,Europe,2015,projections,472187729.2489748,0.2554798960992983
95,SSP2,0.8,Europe,2015,projections,472311360.4654785,0.2555131300172515
96,SSP2,0.2,Oceania,2015,projections,94474698.61853307,0.1388426457777752
97,SSP2,0.4,Oceania,2015,projections,94481591.64904831,0.13884913236468424
98,SSP2,0.6,Oceania,2015,projections,94488322.0859932,0.1388588338817158
99,SSP2,0.8,Oceania,2015,projections,94504350.59010088,0.13888456529571977
100,SSP2,0.2,Africa,2016,projections,740380978.8375448,0.38004543912399
101,SSP2,0.4,Africa,2016,projections,741609234.750373,0.3800680003412104
102,SSP2,0.6,Africa,2016,projections,743352957.0469195,0.3801036021706944
103,SSP2,0.8,Africa,2016,projections,747370173.5289066,0.38019699729653794
104,SSP2,0.2,Americas,2016,projections,873124614.200154,0.2493217496545255
105,SSP2,0.4,Americas,2016,projections,873447776.9447584,0.24933250125803183
106,SSP2,0.6,Americas,2016,projections,874085332.2552658,0.24934946359359395
107,SSP2,0.8,Americas,2016,projections,875888503.8953379,0.24939394567048692
108,SSP2,0.2,Asia,2016,projections,1472838728.3378425,0.49317929183391646
109,SSP2,0.4,Asia,2016,projections,1473818058.0231504,0.49325112754445866
110,SSP2,0.6,Asia,2016,projections,1475710397.9221644,0.4933644738110709
111,SSP2,0.8,Asia,2016,projections,1480878793.3446145,0.49366180613730803
112,SSP2,0.2,Europe,2016,projections,479857201.82803875,0.2536005742401094
113,SSP2,0.4,Europe,2016,projections,479951282.65207124,0.2536284958366643
114,SSP2,0.6,Europe,2016,projections,480018766.4038405,0.2536725486954732
115,SSP2,0.8,Europe,2016,projections,480155710.5939385,0.2537880952648848
116,SSP2,0.2,Oceania,2016,projections,93518921.88677795,0.14041817809643534
117,SSP2,0.4,Oceania,2016,projections,93532391.53507335,0.14043993450888934
118,SSP2,0.6,Oceania,2016,projections,93545355.55014712,0.14047427487093145
119,SSP2,0.8,Oceania,2016,projections,93575707.31758328,0.14056442585687123
120,SSP2,0.2,Africa,2017,projections,754095754.6961191,0.3740959301748011
121,SSP2,0.4,Africa,2017,projections,756022866.0133808,0.37414243443564416
122,SSP2,0.6,Africa,2017,projections,758988736.0257896,0.3742183384274928
123,SSP2,0.8,Africa,2017,projections,766056511.314584,0.3744150949847645
124,SSP2,0.2,Americas,2017,projections,877043363.5157045,0.24721552459375692
125,SSP2,0.4,Americas,2017,projections,877604166.2018929,0.24723918559179958
126,SSP2,0.6,Americas,2017,projections,878703174.7135615,0.24727778986842144
127,SSP2,0.8,Americas,2017,projections,881751662.7663449,0.2473777728722789
128,SSP2,0.2,Asia,2017,projections,1480636327.1718152,0.49188051185685705
129,SSP2,0.4,Asia,2017,projections,1482176424.4026756,0.4920406392828204
130,SSP2,0.6,Asia,2017,projections,1485021810.7311654,0.4923019760099673
131,SSP2,0.8,Asia,2017,projections,1492503890.0338178,0.49297926577154233
132,SSP2,0.2,Europe,2017,projections,486808754.12648433,0.2521784566686311
133,SSP2,0.4,Europe,2017,projections,486930796.11698115,0.2522400980708591
134,SSP2,0.6,Europe,2017,projections,486990145.1477388,0.25234068707688523
135,SSP2,0.8,Europe,2017,projections,487078564.16368246,0.2526013071030798
136,SSP2,0.2,Oceania,2017,projections,92523259.91763216,0.14234131192598992
137,SSP2,0.4,Oceania,2017,projections,92544190.58876438,0.14238978678145767
138,SSP2,0.6,Oceania,2017,projections,92563994.35350749,0.1424689638283912
139,SSP2,0.8,Oceania,2017,projections,92609748.38977279,0.14267452903925287
140,SSP2,0.2,Africa,2018,projections,768217298.4729306,0.3690529941592212
141,SSP2,0.4,Africa,2018,projections,770985738.6145501,0.3691311674923082
142,SSP2,0.6,Africa,2018,projections,775463866.5163162,0.3692612924095902
143,SSP2,0.8,Africa,2018,projections,786030527.3681953,0.3695937677359114
144,SSP2,0.2,Americas,2018,projections,881127344.0767424,0.24530139236313397
145,SSP2,0.4,Americas,2018,projections,881986637.3412231,0.24534377976356556
146,SSP2,0.6,Americas,2018,projections,883657782.7081819,0.24541428736145296
147,SSP2,0.8,Americas,2018,projections,888203688.578588,0.24559416163222292
148,SSP2,0.2,Asia,2018,projections,1484331149.3551981,0.491334427788272
149,SSP2,0.4,Asia,2018,projections,1486454295.4414532,0.4916257487140317
150,SSP2,0.6,Asia,2018,projections,1490369860.8475215,0.49211058276943537
151,SSP2,0.8,Asia,2018,projections,1500244673.9695306,0.493348812104768
152,SSP2,0.2,Europe,2018,projections,493403311.53530574,0.2511257200123796
153,SSP2,0.4,Europe,2018,projections,493540040.59980124,0.25123676063389583
154,SSP2,0.6,Europe,2018,projections,493556260.93242663,0.25142152380171684
155,SSP2,0.8,Europe,2018,projections,493503955.8697369,0.25189319578965813
156,SSP2,0.2,Oceania,2018,projections,91499318.78924394,0.14457327013851157
157,SSP2,0.4,Oceania,2018,projections,91528031.45002909,0.144661600584835
158,SSP2,0.6,Oceania,2018,projections,91554732.89418344,0.14480882687784358
159,SSP2,0.8,Oceania,2018,projections,91616009.68031715,0.14518609112063638
160,SSP2,0.2,Africa,2019,projections,782767021.1345385,0.3647869614447521
161,SSP2,0.4,Africa,2019,projections,786533687.8912431,0.3649049051257511
162,SSP2,0.6,Africa,2019,projections,792808662.3725631,0.3651026825361076
163,SSP2,0.8,Africa,2019,projections,807389072.2672834,0.3655998976165753
164,SSP2,0.2,Americas,2019,projections,884834903.306365,0.24357904763332394
165,SSP2,0.4,Americas,2019,projections,886047537.6449165,0.24364694781975832
166,SSP2,0.6,Americas,2019,projections,888389482.2450774,0.24376068682916638
167,SSP2,0.8,Americas,2019,projections,894638114.5899167,0.24404596205947682
168,SSP2,0.2,Asia,2019,projections,1487736636.2070425,0.49149055145974907
169,SSP2,0.4,Asia,2019,projections,1490487690.796224,0.4919654077013159
170,SSP2,0.6,Asia,2019,projections,1495425912.9934785,0.49276142434769676
171,SSP2,0.8,Asia,2019,projections,1507316614.1035593,0.49476107870436437
