Unnamed: 0,kappa(% change),beta(% change),alpha(% change),peak land(billion hectares),f,scenario,peak year
0,-50,50,0,3.654118039688244,0.8,SSP2,2051.0
0,-40,40,0,3.4435019140359486,0.2,SSP2,2027.0
0,-60,0,60,3.3295870128626355,0.2,SSP2,2012.0
0,-80,90,0,3.4729963043075913,0.8,SSP2,2050.0
0,70,0,90,3.745533993282172,0.8,SSP2,2070.0
0,-100,0,-70,4.131317331288343,0.8,SSP2,2081.0
0,-90,80,0,3.3295870128626355,0.2,SSP2,2012.0
0,0,-80,100,5.103649110417748,0.8,SSP2,2085.0
0,0,50,-40,4.594747442865844,0.8,SSP2,2054.0
0,0,-20,-100,6.6006308843738255,0.8,SSP2,2063.0
0,-30,30,0,3.5677125491497685,0.2,SSP2,2043.0
0,-20,20,0,4.08064642886244,0.8,SSP2,2063.0
0,0,-100,70,5.5410315509200565,0.8,SSP2,2090.0
0,20,0,40,3.413320280331935,0.2,SSP2,2039.0
0,-70,0,-10,4.547618028701262,0.8,SSP2,2056.0
0,70,0,-30,4.969650335239269,0.8,SSP2,2033.0
0,0,-40,0,4.321804001200126,0.2,SSP2,2029.0
0,20,-50,0,4.4194465269068095,0.2,SSP2,2025.0
0,-70,-50,0,4.019443086462033,0.2,SSP2,2060.0
0,0,10,-30,4.968990215670506,0.8,SSP2,2046.0
0,-70,60,0,3.3295870128626355,0.2,SSP2,2012.0
0,-100,-70,0,3.3295870128626355,0.2,SSP2,2012.0
0,80,0,-90,6.1668228581184685,0.8,SSP2,2060.0
0,-60,70,0,3.536170451921455,0.8,SSP2,2047.0
0,-20,0,-30,5.080625289021686,0.8,SSP2,2045.0
0,90,-70,0,4.560144240229872,0.2,SSP2,2018.0
0,20,0,-10,4.6358884412813985,0.8,SSP2,2066.0
0,0,-20,10,4.8411099326082985,0.8,SSP2,2071.0
0,0,-40,-40,5.121884445995615,0.2,SSP2,2028.0
0,80,0,80,3.8341798360950494,0.8,SSP2,2069.0
0,100,0,20,3.7017577376678847,0.2,SSP2,2029.0
0,0,-40,-50,5.2145939168228415,0.2,SSP2,2027.0
0,-10,0,20,3.5739331677370734,0.2,SSP2,2042.0
0,0,80,-70,4.021056907582191,0.2,SSP2,2018.0
0,0,40,30,3.3295870128626355,0.8,SSP2,2012.0
0,80,-90,0,5.940883744459767,0.8,SSP2,2086.0
0,-90,0,70,3.3295870128626355,0.2,SSP2,2012.0
0,0,-100,-60,6.544610725237027,0.8,SSP2,2080.0
0,0,50,90,3.3295870128626355,0.2,SSP2,2012.0
0,50,0,-10,4.180211657216096,0.2,SSP2,2022.0
0,50,-50,0,5.606869307580304,0.8,SSP2,2074.0
0,-20,90,0,3.3295870128626355,0.2,SSP2,2012.0
0,-80,0,-70,5.519632668329287,0.8,SSP2,2071.0
0,80,0,-50,5.479855349538458,0.8,SSP2,2051.0
0,-30,80,0,3.4031285532012228,0.8,SSP2,2025.0
0,-40,0,30,4.186410259033686,0.8,SSP2,2074.0
0,-10,0,-100,6.2331960111046385,0.8,SSP2,2067.0
0,-20,-100,0,5.944119519008628,0.8,SSP2,2083.0
0,0,-60,-70,6.6748773376837995,0.8,SSP2,2059.0
0,-90,30,0,3.955423054196868,0.8,SSP2,2067.0
0,0,-60,-60,6.461313958167733,0.8,SSP2,2050.0
0,-80,20,0,3.3855315698035766,0.2,SSP2,2024.0
0,0,-70,80,5.157422153798793,0.8,SSP2,2084.0
0,0,-70,90,5.061931010321876,0.8,SSP2,2085.0
0,80,0,40,4.1530338209229996,0.8,SSP2,2069.0
0,80,-20,0,4.180045940439113,0.2,SSP2,2025.0
0,0,40,100,3.3295870128626355,0.2,SSP2,2012.0
0,0,30,-70,5.396829414169314,0.8,SSP2,2059.0
0,70,0,50,4.0695799130116335,0.8,SSP2,2075.0
0,0,-90,10,4.483564469309839,0.2,SSP2,2022.0
0,20,0,80,3.3295870128626355,0.2,SSP2,2012.0
0,-50,0,-30,4.300587763943709,0.2,SSP2,2036.0
0,0,-30,100,3.3295870128626355,0.2,SSP2,2012.0
0,-30,0,70,3.776620594174372,0.8,SSP2,2078.0
0,0,60,70,3.3295870128626355,0.8,SSP2,2012.0
0,10,40,0,3.7578225707244144,0.8,SSP2,2042.0
0,0,-10,-10,4.8649941953314375,0.8,SSP2,2073.0
0,100,0,-10,4.6444794938481655,0.8,SSP2,2059.0
0,30,0,60,3.977603892434199,0.8,SSP2,2072.0
0,0,10,-80,4.956163979508396,0.2,SSP2,2031.0
0,-90,-60,0,3.491420166476423,0.2,SSP2,2037.0
0,-60,0,-20,4.7288595754825815,0.8,SSP2,2046.0
0,0,-80,-30,6.134566662361566,0.8,SSP2,2079.0
0,0,0,-30,5.057881341438367,0.8,SSP2,2041.0
0,-100,0,-100,3.3295870128626355,0.2,SSP2,2012.0
0,0,60,-10,3.785674714271317,0.8,SSP2,2055.0
0,-20,-40,0,4.27712387546226,0.2,SSP2,2032.0
0,70,-40,0,4.372561587812607,0.2,SSP2,2022.0
0,0,-80,-20,5.982460602162366,0.8,SSP2,2081.0
0,-10,100,0,3.3295870128626355,0.2,SSP2,2012.0
0,40,100,0,3.3295870128626355,0.2,SSP2,2012.0
0,-20,0,90,3.3295870128626355,0.2,SSP2,2012.0
0,0,30,10,3.7735480523879583,0.8,SSP2,2065.0
0,70,20,0,3.774230561621962,0.2,SSP2,2024.0
0,60,30,0,3.880682237036216,0.8,SSP2,2065.0
0,-90,0,100,3.3295870128626355,0.2,SSP2,2012.0
0,-70,0,40,4.019152683857837,0.8,SSP2,2072.0
0,-40,-10,0,4.7122287647122425,0.8,SSP2,2075.0
0,0,40,80,3.3295870128626355,0.2,SSP2,2012.0
0,0,60,0,3.4062699469885938,0.2,SSP2,2022.0
0,30,70,0,3.3885903172971283,0.2,SSP2,2019.0
0,0,70,60,3.3295870128626355,0.8,SSP2,2012.0
0,-80,0,50,3.830909069771722,0.8,SSP2,2085.0
0,-80,-80,0,5.70345182522821,0.8,SSP2,2095.0
0,20,60,0,3.5353482158118665,0.8,SSP2,2055.0
0,10,-10,0,4.76885176297992,0.8,SSP2,2070.0
0,-100,10,0,4.131317331288343,0.8,SSP2,2081.0
0,0,10,0,4.2758849034896835,0.8,SSP2,2070.0
0,40,0,20,4.354854559392964,0.8,SSP2,2072.0
0,50,10,0,4.299170454410286,0.8,SSP2,2067.0
0,0,-70,40,4.08626270847391,0.2,SSP2,2025.0
0,30,0,-20,4.7424489975343675,0.8,SSP2,2072.0
0,0,-70,50,3.997975304908133,0.2,SSP2,2026.0
0,0,20,-60,5.38203043372758,0.8,SSP2,2049.0
0,-90,0,-80,5.370523442799647,0.8,SSP2,2086.0
0,100,-50,0,4.446214755284278,0.2,SSP2,2020.0
0,90,0,60,3.3295870128626355,0.2,SSP2,2012.0
0,-30,-10,0,3.9232423076150655,0.2,SSP2,2043.0
0,60,-10,0,4.054823142190863,0.2,SSP2,2026.0
0,60,80,0,3.3559825024514125,0.2,SSP2,2017.0
0,-80,-30,0,3.6963937000872256,0.2,SSP2,2054.0
0,10,0,30,3.500670738450053,0.2,SSP2,2039.0
0,0,80,10,3.3295870128626355,0.2,SSP2,2012.0
0,70,90,0,3.337650088738662,0.8,SSP2,2016.0
0,-80,0,90,3.4465703200639304,0.8,SSP2,2080.0
0,0,40,-50,4.943515487003581,0.8,SSP2,2062.0
0,-50,0,10,3.573038222155568,0.2,SSP2,2039.0
0,90,0,-60,5.642569123891825,0.8,SSP2,2055.0
0,-50,-40,0,5.273383065909086,0.8,SSP2,2079.0
0,-90,0,-40,4.940697280209092,0.8,SSP2,2081.0
0,-60,100,0,3.3661264031069766,0.8,SSP2,2032.0
0,0,10,50,3.8160180504368766,0.8,SSP2,2073.0
0,40,0,-20,4.5139836488509015,0.2,SSP2,2022.0
0,-10,0,-20,4.415126372379816,0.2,SSP2,2027.0
0,0,-30,-20,4.585334816807155,0.2,SSP2,2022.0
0,0,-50,70,4.9937267499815965,0.8,SSP2,2085.0
0,-20,0,50,3.3295870128626355,0.2,SSP2,2012.0
0,0,70,-100,4.410119757355422,0.2,SSP2,2024.0
0,90,70,0,3.4196881457232355,0.8,SSP2,2017.0
0,0,-50,60,5.075355427934202,0.8,SSP2,2084.0
0,80,60,0,3.458777831516139,0.2,SSP2,2018.0
0,0,-30,-30,4.898113386778277,0.2,SSP2,2029.0
0,30,100,0,3.3295870128626355,0.8,SSP2,2012.0
0,0,90,-60,3.902126824535192,0.2,SSP2,2016.0
0,0,50,20,3.3295870128626355,0.8,SSP2,2012.0
0,-100,-80,0,4.131317331288343,0.8,SSP2,2081.0
0,0,100,20,3.3295870128626355,0.8,SSP2,2012.0
0,0,-40,-80,6.574023128962192,0.8,SSP2,2059.0
0,0,-100,-30,5.231556115177409,0.2,SSP2,2021.0
0,0,100,30,3.3295870128626355,0.8,SSP2,2012.0
0,0,-40,-90,6.712560081358283,0.8,SSP2,2060.0
0,-70,0,80,3.5855714782955648,0.8,SSP2,2082.0
0,60,0,70,3.3295870128626355,0.2,SSP2,2012.0
0,50,-20,0,4.166439960839585,0.2,SSP2,2028.0
0,0,-40,100,4.72887250243866,0.8,SSP2,2086.0
0,0,90,-40,4.037241456788026,0.8,SSP2,2060.0
0,70,0,10,3.800082266201512,0.2,SSP2,2027.0
0,0,-80,0,4.580046975075466,0.2,SSP2,2023.0
0,0,20,90,3.3295870128626355,0.8,SSP2,2012.0
0,-40,80,0,3.3295870128626355,0.2,SSP2,2012.0
0,0,70,-90,4.917236551066675,0.8,SSP2,2053.0
0,-30,0,30,3.3833200716969323,0.2,SSP2,2053.0
0,-60,-70,0,5.898411397513559,0.8,SSP2,2081.0
0,-80,0,-30,3.8532738352086526,0.2,SSP2,2028.0
0,-50,90,0,3.385118597136469,0.8,SSP2,2029.0
0,-90,40,0,3.3295870128626355,0.2,SSP2,2012.0
0,-80,50,0,3.7038128476479137,0.8,SSP2,2055.0
0,-40,0,70,3.3295870128626355,0.2,SSP2,2012.0
